id,name,name_sk,description,years_of_study,slug,is_in_combination,academic_degree_id,faculty_id,direction_id,direction_2_id,created_at,updated_at
73,"Архивы, музеология и оцифровка исторического наследия","Archívnictvo, muzeológia a digitalizácia historického dedičstva",,2,,0,4,66,7,,,
74,"Архивы, музеология и оцифровка исторического наследия","Archívnictvo, muzeológia a digitalizácia historického dedičstva",,3,,0,1,66,7,,,
75,Архитектура,Architektúra,,2,,0,6,8,25,,,
76,Архитектура и урбанизм,Architektúra a urbanizmus,,4,,0,1,8,25,,,
77,Архитектура и урбанизм,Architektúra a urbanizmus,,4,,0,1,49,25,,,
78,Архитектура и урбанизм,Architektúra a urbanizmus,,2,,0,6,49,25,,,
79,Архитектурная творчество,Architektonická tvorba,,2,,0,2,116,1,,,
80,Архитектурная творчество,Architektonická tvorba,,4,,0,1,116,1,,,
81,Архитектурные сооружения и проектирование,Architektonické konštrukcie a projektovanie,,2,,0,3,98,25,,,
82,Астрономия и астрофизика,Astronómia a astrofyzika,,2,,0,4,28,33,,,
83,Безопасность и защита от здоровья на работе,Bezpečnosť a ochrana zdravia pri práci,,3,,0,1,79,26,,,
84,Безопасность и контроль за продуктами питания,Bezpečnosť a kontrola potravín,,3,,0,1,11,19,,,
85,Безопасность и контроль за продуктами питания,Bezpečnosť a kontrola potravín,,2,,0,3,11,19,,,
86,Безопасность кормов и пищевых продуктов,Bezpečnosť krmív a potravín,,3,,0,1,113,35,,,
87,Безопасность технических систем,Bezpečnosť technických systémov,,2,,0,3,102,20,,,
88,Бизнес в туризме и услугах,Podnikanie v cestovnom ruchu a službách,,3,,0,1,81,2,,,
89,Бизнес и маркетинг,Biznis a marketing,,3,,0,1,81,2,,,
90,Бизнес информатика,Hospodárska informatika,,2,,0,3,19,22,,,
91,Бизнес информатика,Hospodárska informatika,,3,,0,1,19,22,,,
92,Биоинформатика,Bioinformatika,,3,,0,1,28,13,22,,
93,Биология,Biológia,,3,,0,1,22,13,,,
94,Биология,Biológia,,2,,0,4,22,13,,,
95,Биология,Biológia,,3,,0,1,38,13,,,
96,Биология,Biológia,,2,,0,4,38,13,,,
97,Биология,Biológia,,2,,0,4,94,13,,,
98,Биология,Biológia,,3,,0,1,94,13,,,
99,Биология,Biológia,,3,,0,1,95,13,,,
100,Биология - география,Biológia - geografia,,3,,0,1,95,13,15,,
101,Биология - информатика,Biológia - informatika,,3,,0,1,95,13,22,,
102,Биология - психология,Biológia - psychológia,,3,,0,1,95,13,10,,
103,Биология - химия,Biológia - chémia,,3,,0,1,95,13,27,,
104,Биомедицинская инженерия,Biomedicínske inžinierstvo,,3,,0,1,17,21,,,
105,Биомедицинская инженерия,Biomedicínske inžinierstvo,,2,,0,3,17,21,,,
106,Биомедицинская инженерия,Biomedicínske inžinierstvo,,2,,0,3,102,21,,,
107,Биомедицинская информатика,Biomedicínska informatika,,2,,0,3,39,22,,,
108,Биомедицинская физика,Biomedicínska fyzika,,2,,0,4,28,6,33,,
109,Биомедицинская физика,Biomedicínska fyzika,,3,,0,1,28,6,33,,
110,Биотехнологии,Biotechnológie,,2,,0,4,94,13,,,
111,Биотехнология,Biotechnológia,,2,,0,3,12,13,,,
112,Биотехнология,Biotechnológia,,3,,0,1,12,13,,,
113,Биотехнология,Biotechnológie,,3,,0,1,37,13,,,
114,Биотехнология,Biotechnológie,,2,,0,4,37,13,,,
115,Биофизика,Biofyzika,,2,,0,4,95,33,,,
116,Биофизика,Biofyzika,,3,,0,1,95,33,,,
117,Биохимия,Biochémia,,2,,0,4,94,27,,,
118,Биохимия,Biochémia,,3,,0,1,94,27,,,
119,Биохимия,Biochémia,,2,,0,4,95,27,,,
120,Биохимия и биомедицинские технологии,Biochémia a biomedicínske technológie,,2,,0,3,12,13,27,,
121,Биохимия и биофизическая химия для фармацевтических применений,Biochémia a biofyzikálna chémia pre farmaceutické aplikácie,,3,,0,1,12,27,,,
122,Биохимия и биофизическая химия для фармацевтических применений,Biochémia a biofyzikálna chémia pre farmaceutické aplikácie ,,4,,0,1,12,27,,,
123,Благополучие и защита животных,Pohoda a ochrana zvierat,,2,,0,4,113,35,,,
124,Благотворительная и социальная служба,Charitatívna a sociálna služba,,3,,0,1,93,11,,,
125,Благотворительная служба и социальные консультации,Charitatívna služba a sociálne poradenstvo,,2,,0,4,93,11,,,
126,Болгарский язык и культура,Bulharský jazyk a kultúra (v kombinácii),,3,,1,1,66,3,,,
127,Болгарский язык и культура,Bulharský jazyk a kultúra (v kombinácii),,2,,1,4,66,3,,,
128,Ботаника,Botanika,,2,,0,4,94,13,,,
129,Ботаника и физиология растений,Botanika a fyziológia rastlín,,2,,0,4,95,13,,,
130,Британские и американские исследования - биология,Britské a americké štúdiá - biológia,,3,,0,1,69,3,13,,
131,Британские и американские исследования - география,Britské a americké štúdiá - geografia,,3,,0,1,69,3,15,,
132,Британские и американские исследования - информатика,Britské a americké štúdiá - informatika,,3,,0,1,69,3,22,,
133,Британские и американские исследования - математика,Britské a americké štúdiá - matematika,,3,,0,1,69,3,28,,
134,Британские и американские исследования - психология,Britské a americké štúdiá - psychológia,,3,,0,1,69,3,10,,
135,Британские и американские исследования - философия,Britské a americké štúdiá - filozofia,,3,,0,1,69,3,5,,
136,Бухгалтерия,Účtovníctvo,,3,,0,1,16,2,,,
137,Бухгалтерия,Účtovníctvo,,3,,0,1,21,2,,,
138,Бухгалтерия и аудиторство,Účtovníctvo a auditorstvo,,2,,0,3,21,2,,,
139,Венгерский язык в двуязычном административном общении,Maďarský jazyk v bilingválnej administratívnej komunikácii,,2,,0,4,46,3,,,
140,Венгерский язык и культура,Maďarský jazyk a kultúra (v kombinácii),,2,,1,4,66,3,,,
141,Венгерский язык и культура,Maďarský jazyk a kultúra (v kombinácii),,3,,1,1,66,3,,,
142,Венгерский язык и культура,Maďarský jazyk a kultúra (v kombinácii),,3,,1,1,107,3,,,
143,Венгерский язык и культура,Maďarský jazyk a kultúra (v kombinácii),,2,,1,4,107,3,,,
144,Венгерско-словацкое двуязычное посредничество,Maďarsko-slovenský bilingválny mediátor,,3,,0,1,46,3,,,
145,Ветеринарная медсестра,Veterinárna sestra,,3,,0,1,113,35,,,
146,Визуальная коммуникация,Vizuálna komunikácia,,4,,0,1,116,1,,,
147,Виноделие,Vinárstvo,,3,,0,1,11,19,,,
148,Водные сооружения и водное хозяйство,Vodné stavby a vodné hospodárstvo,,3,,0,1,98,25,,,
149,Водные сооружения и водное хозяйство,Vodné stavby a vodné hospodárstvo,,2,,0,3,98,25,,,
150,Водный транспорт,Vodná doprava,,3,,0,1,34,30,,,
151,Воздушная и космическая инженерия,Letecké a kozmické inžinierstvo,,2,,0,3,78,30,,,
152,Воздушный транспорт,Letecká doprava,,3,,0,1,34,30,,,
153,Воздушный транспорт,Letecká doprava,,2,,0,3,34,30,,,
154,Возобновляемые источники энергии,Obnoviteľné zdroje energie,,2,,0,3,52,20,,,
155,Возобновляемые источники энергии,Obnoviteľné zdroje energie,,3,,0,1,52,20,,,
156,Возобновляемые источники энергии и физика окружающей среды,Obnoviteľné zdroje energie a environmentálna fyzika,,3,,0,1,28,33,,,
157,"Воспитание и образование детей, молодежи и взрослых","Výchova a vzdelávanie detí, mládeže a dospelých",,3,,0,1,87,9,,,
158,Восточноазиатские языки и культуры,Východoázijské jazyky a kultúry,,2,,0,4,66,3,,,
159,Восточноазиатские языки и культуры,Východoázijské jazyky a kultúry,,4,,0,1,66,3,,,
160,Генетика,Genetika,,2,,0,4,94,13,,,
161,Генетика и молекулярная цитология,Genetika a molekulárna cytológia,,2,,0,4,95,13,,,
162,Генетические технологии в агробиологии,Genetické technológie v agrobiológii,,2,,0,3,6,18,,,
163,География - информатика,Geografia - informatika,,3,,0,1,95,15,22,,
164,География - психология,Geografia - psychológia,,3,,0,1,95,15,10,,
165,География - философия,Geografia - filozofia,,3,,0,1,95,15,5,,
166,География в региональном развитии,Geografia v regionálnom rozvoji,,2,,0,4,38,15,,,
167,География в региональном развитии,Geografia v regionálnom rozvoji,,3,,0,1,38,15,,,
168,География и геоинформатика,Geografia a geoinformatika,,2,,0,4,95,15,,,
169,География и геоинформатика,Geografia a geoinformatika,,3,,0,1,95,15,,,
170,География и прикладная геоинформатика,Geografia a aplikovaná geoinformatika,,3,,0,1,22,15,,,
171,География и прикладная геоинформатика,Geografia a aplikovaná geoinformatika,,2,,0,4,22,15,,,
172,"География, картография и геоинформатика","Geografia, kartografia a geoinformatika",,3,,0,1,94,15,,,
173,"География, развитие регионов и европейская интеграция","Geografia, rozvoj regiónov a európska integrácia",,3,,0,1,94,15,,,
174,Геодезия и картография,Geodézia a kartografia,,2,,0,3,98,15,,,
175,Геодезия и картография,Geodézia a kartografia,,3,,0,1,98,15,,,
176,Геодезия и картография,Geodézia a kartografia,,3,,0,1,100,15,,,
177,Геодезия и работа с регистром земли,Geodézia a kataster nehnuteľností,,3,,0,1,9,15,,,
178,Геоинформационные и картографические методы в лесном хозяйстве,Geoinformačné a mapovacie techniky v lesníctve,,2,,0,3,77,31,,,
179,Геологическая инженерия,Geologické inžinierstvo,,2,,0,3,9,15,,,
180,Геология,Geológia,,3,,0,1,94,15,,,
181,Геология и региональное развитие,Geológia a regionálny rozvoj,,3,,0,1,9,15,,,
182,Геопотенциал регионов,Geopotenciál regiónov,,3,,0,1,36,15,,,
183,Геотуризм,Geoturizmus,,2,,0,3,9,15,,,
184,Геотуризм,Geoturizmus,,3,,0,1,9,15,,,
185,Геохимия окружающей среды,Environmentálna geochémia,,2,,0,4,94,14,,,
186,Германские исследования,Germánske štúdiá,,2,,0,4,66,3,,,
187,Германские исследования,Germánske štúdiá,,3,,0,1,66,3,,,
188,Гидравлические и пневматические машины и оборудование,Hydraulické a pneumatické stroje a zariadenia,,2,,0,3,101,20,,,
189,Гиппология,Hipológia,,3,,0,1,6,18,,,
190,Голландский язык и культура,Holandský jazyk a kultúra (v kombinácii),,3,,1,1,66,3,,,
191,Голландский язык и культура,Holandský jazyk a kultúra (v kombinácii),,2,,1,4,66,3,,,
192,Горное дело и геотехника,Baníctvo a geotechnika,,3,,0,1,9,15,,,
193,Горнопроходческие технологии,Technológie baníctva a tunelárstva,,2,,0,3,9,15,,,
194,Государственная политика,Verejná politika,,2,,0,4,41,16,,,
195,Государственная экономика и управление,Verejná ekonomika a manažment,,3,,0,1,4,2,,,
196,Государственное управление,Verejná správa,,3,,0,1,40,2,,,
197,Государственное управление,Verejná správa,,2,,0,4,42,16,,,
198,Государственное управление,Verejná správa,,3,,0,1,42,16,,,
199,Государственное управление,Verejná správa,,2,,0,4,51,16,,,
200,Государственное управление,Verejná správa,,3,,0,1,51,16,,,
201,Гражданское строительство,Civil engineering,,2,,0,3,98,25,,,
202,Гражданское строительство,Civil engineering,,3,,0,1,98,25,,,
203,Гражданское строительство,Pozemné staviteľstvo,,2,,0,3,100,25,,,
204,Гражданское строительство,Pozemné staviteľstvo,,4,,0,1,100,25,,,
205,Графика и другие медиа,Grafika a iné médiá,,4,,0,1,116,1,,,
206,Греческий язык и культура,Grécky jazyk a kultúra (v kombinácii),,3,,1,1,66,3,,,
207,Греческий язык и культура,Grécky jazyk a kultúra (v kombinácii),,2,,1,4,66,3,,,
208,Декоративно-прикладное искусство,Úžitkové umenie,,4,,0,1,116,1,,,
209,Деревообработка при поддержке информационных технологий,Drevárstvo s podporou informačných technologií,,3,,0,1,2,31,,,
210,Деревянные сооружения,Drevené stavby,,3,,0,1,2,31,,,
211,Деревянные сооружения,Drevené stavby,,2,,0,3,2,31,,,
212,Дизайн,Dizajn,,4,,0,1,8,1,,,
213,Дизайн,Dizajn,,2,,0,2,8,1,,,
214,Дизайн,Dizajn,,4,,0,1,49,1,,,
215,Дизайн,Dizajn,,2,,0,2,49,1,,,
216,Дизайн,Dizajn,,2,,0,2,116,1,,,
217,Дизайн,Dizajn,,4,,0,1,116,1,,,
218,Дизайн интерьера,Dizajn nábytku a interiéru,,4,,0,1,2,1,,,
219,Дизайн интерьера,Dizajn nábytku a interiéru,,2,,0,2,2,1,,,
220,Динамическая геология,Dynamická geológia,,2,,0,4,94,15,,,
221,Доставка и логистика,Zasielateľstvo a logistika,,3,,0,1,34,30,,,
222,Доставка и логистика,Zasielateľstvo a logistika,,2,,0,3,34,30,,,
223,Дошкольная и начальная педагогика. педагогика лиц с психосоциальными нарушениями,Predškolská a elementárna pedagogika a pedagogika psychosociálne narušených,,3,,0,1,83,9,,,
224,Дошкольная и элементарная педагогика,Predškolská a elementárna pedagogika,,3,,0,1,82,9,,,
225,Дошкольная и элементарная педагогика,Predškolská a elementárna pedagogika,,3,,0,1,83,9,,,
226,Дошкольная и элементарная педагогика,Predškolská a elementárna pedagogika,,3,,0,1,84,9,,,
227,Дошкольная и элементарная педагогика,Predškolská a elementárna pedagogika,,3,,0,1,85,9,,,
228,Дошкольная и элементарная педагогика,Predškolská a elementárna pedagogika,,3,,0,1,86,9,,,
229,Дошкольная и элементарная педагогика,Predškolská a elementárna pedagogika,,3,,0,1,87,9,,,
230,Дошкольная и элементарная педагогика с венгерским языком обучения,Predškolská a elementárna pedagogika s vyučovacím jazykom maďarským,,3,,0,1,46,9,,,
231,Дошкольная педагогика,Predškolská pedagogika,,2,,0,4,83,9,,,
