id,name,name_sk,description,years_of_study,slug,is_in_combination,academic_degree_id,faculty_id,direction_id,direction_2_id,created_at,updated_at
762,преподавание начального образования,učiteľstvo pre primárne vzdelávanie,,2,,,4,85,9,,,
763,преподавание начального образования,učiteľstvo pre primárne vzdelávanie,,2,,0,4,86,9,,,
764,преподавание начального образования,učiteľstvo pre primárne vzdelávanie,,2,,0,4,87,9,,,
765,преподавание начального образования и педагогика для лиц с психосоциальными нарушениями,učiteľstvo pre primárne vzdelávanie a pedagogika psychosociálne narušených,,2,,0,4,83,9,,,
766,преподавание начального образования с венгерским языком обучения,učiteľstvo pre primárne vzdelávanie s vyučovacím jazykom maďarským,,2,,0,4,46,9,,,
767,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,2,,1,4,64,9,,,
768,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,3,,1,1,64,9,,,
769,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,3,,1,1,66,9,,,
770,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,2,,1,4,66,9,,,
771,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,2,,1,4,67,9,,,
772,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,3,,1,1,67,9,,,
773,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,2,,1,4,68,9,,,
774,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,3,,1,1,68,9,,,
775,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,2,,1,4,69,9,,,
776,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,2,,1,4,70,9,,,
777,преподавание немецкого языка и литературы,učiteľstvo nemeckého jazyka a literatúry (v kombinácii),,3,,1,1,70,9,,,
